params,auc,accuracy,f1_score,precision,recall
"{'num_nearest_neighbors': 50, 'distance_metric': 'euclidean', 'encoding_method': 'catboost', 'model': 'Catboost', 'batch_size': 100}",0.5883153657531238,0.8242821985233798,0.7855339978970491,0.7543511575523012,0.8242821985233798
"{'num_nearest_neighbors': 50, 'distance_metric': 'euclidean', 'encoding_method': 'count', 'model': 'Catboost', 'batch_size': 100}",0.5642417792270004,0.8255947497949139,0.787135984840862,0.75686588997871,0.8255947497949139
"{'num_nearest_neighbors': 50, 'distance_metric': 'euclidean', 'encoding_method': 'target', 'model': 'Catboost', 'batch_size': 100}",0.5783079310137317,0.8206726825266611,0.7880614902065193,0.7626842144971988,0.8206726825266611
"{'num_nearest_neighbors': 50, 'distance_metric': 'euclidean', 'encoding_method': 'woe', 'model': 'Catboost', 'batch_size': 100}",0.551467907737816,0.8219852337981952,0.7855441144012428,0.7563821707787014,0.8219852337981952
"{'num_nearest_neighbors': 50, 'distance_metric': 'euclidean', 'encoding_method': 'rank', 'model': 'Catboost', 'batch_size': 100}",0.5507436049584901,0.8326497128794094,0.7928562174171172,0.7642525668120316,0.8326497128794094
"{'num_nearest_neighbors': 50, 'distance_metric': 'cosine', 'encoding_method': 'catboost', 'model': 'Catboost', 'batch_size': 100}",0.5883153657531238,0.8242821985233798,0.7855339978970491,0.7543511575523012,0.8242821985233798
"{'num_nearest_neighbors': 50, 'distance_metric': 'cosine', 'encoding_method': 'count', 'model': 'Catboost', 'batch_size': 100}",0.5642417792270004,0.8255947497949139,0.787135984840862,0.75686588997871,0.8255947497949139
"{'num_nearest_neighbors': 50, 'distance_metric': 'cosine', 'encoding_method': 'target', 'model': 'Catboost', 'batch_size': 100}",0.5783079310137317,0.8206726825266611,0.7880614902065193,0.7626842144971988,0.8206726825266611
"{'num_nearest_neighbors': 50, 'distance_metric': 'cosine', 'encoding_method': 'woe', 'model': 'Catboost', 'batch_size': 100}",0.551467907737816,0.8219852337981952,0.7855441144012428,0.7563821707787014,0.8219852337981952
"{'num_nearest_neighbors': 50, 'distance_metric': 'cosine', 'encoding_method': 'rank', 'model': 'Catboost', 'batch_size': 100}",0.5507436049584901,0.8326497128794094,0.7928562174171172,0.7642525668120316,0.8326497128794094
"{'num_nearest_neighbors': 70, 'distance_metric': 'euclidean', 'encoding_method': 'catboost', 'model': 'Catboost', 'batch_size': 100}",0.5928526337137514,0.829532403609516,0.7934092914053382,0.7674718711794718,0.829532403609516
"{'num_nearest_neighbors': 70, 'distance_metric': 'euclidean', 'encoding_method': 'count', 'model': 'Catboost', 'batch_size': 100}",0.5804943185041166,0.8334700574241182,0.7933221512078308,0.7647308984709309,0.8334700574241182
"{'num_nearest_neighbors': 70, 'distance_metric': 'euclidean', 'encoding_method': 'target', 'model': 'Catboost', 'batch_size': 100}",0.5843146597642253,0.8246103363412634,0.7911474471863972,0.7661028804568898,0.8246103363412634
"{'num_nearest_neighbors': 70, 'distance_metric': 'euclidean', 'encoding_method': 'woe', 'model': 'Catboost', 'batch_size': 100}",0.5561023237283647,0.8313371616078753,0.7898866539648222,0.7583879549807567,0.8313371616078753
"{'num_nearest_neighbors': 70, 'distance_metric': 'euclidean', 'encoding_method': 'rank', 'model': 'Catboost', 'batch_size': 100}",0.556029810545687,0.8239540607054963,0.7853524773182285,0.7542294203943459,0.8239540607054963
"{'num_nearest_neighbors': 70, 'distance_metric': 'cosine', 'encoding_method': 'catboost', 'model': 'Catboost', 'batch_size': 100}",0.5928526337137514,0.829532403609516,0.7934092914053382,0.7674718711794718,0.829532403609516
"{'num_nearest_neighbors': 70, 'distance_metric': 'cosine', 'encoding_method': 'count', 'model': 'Catboost', 'batch_size': 100}",0.5804943185041166,0.8334700574241182,0.7933221512078308,0.7647308984709309,0.8334700574241182
"{'num_nearest_neighbors': 70, 'distance_metric': 'cosine', 'encoding_method': 'target', 'model': 'Catboost', 'batch_size': 100}",0.5843146597642253,0.8246103363412634,0.7911474471863972,0.7661028804568898,0.8246103363412634
"{'num_nearest_neighbors': 70, 'distance_metric': 'cosine', 'encoding_method': 'woe', 'model': 'Catboost', 'batch_size': 100}",0.5561023237283647,0.8313371616078753,0.7898866539648222,0.7583879549807567,0.8313371616078753
"{'num_nearest_neighbors': 70, 'distance_metric': 'cosine', 'encoding_method': 'rank', 'model': 'Catboost', 'batch_size': 100}",0.556029810545687,0.8239540607054963,0.7853524773182285,0.7542294203943459,0.8239540607054963
"{'num_nearest_neighbors': 100, 'distance_metric': 'euclidean', 'encoding_method': 'catboost', 'model': 'Catboost', 'batch_size': 100}",0.6026184013193514,0.8334700574241182,0.7977757073701292,0.7739709887620949,0.8334700574241182
"{'num_nearest_neighbors': 100, 'distance_metric': 'euclidean', 'encoding_method': 'count', 'model': 'Catboost', 'batch_size': 100}",0.6086645517800119,0.8239540607054963,0.7842491138075409,0.7516376915683913,0.8239540607054963
"{'num_nearest_neighbors': 100, 'distance_metric': 'euclidean', 'encoding_method': 'target', 'model': 'Catboost', 'batch_size': 100}",0.603800520982602,0.8241181296144381,0.7856615929350611,0.75479271796709,0.8241181296144381
"{'num_nearest_neighbors': 100, 'distance_metric': 'euclidean', 'encoding_method': 'woe', 'model': 'Catboost', 'batch_size': 100}",0.5773594056886873,0.834946677604594,0.7961312190981832,0.7699123513949818,0.834946677604594
"{'num_nearest_neighbors': 100, 'distance_metric': 'euclidean', 'encoding_method': 'rank', 'model': 'Catboost', 'batch_size': 100}",0.6017671002765782,0.8326497128794094,0.7935117275690439,0.7656962244748959,0.8326497128794094
"{'num_nearest_neighbors': 100, 'distance_metric': 'cosine', 'encoding_method': 'catboost', 'model': 'Catboost', 'batch_size': 100}",0.6026184013193514,0.8334700574241182,0.7977757073701292,0.7739709887620949,0.8334700574241182
"{'num_nearest_neighbors': 100, 'distance_metric': 'cosine', 'encoding_method': 'count', 'model': 'Catboost', 'batch_size': 100}",0.6086645517800119,0.8239540607054963,0.7842491138075409,0.7516376915683913,0.8239540607054963
"{'num_nearest_neighbors': 100, 'distance_metric': 'cosine', 'encoding_method': 'target', 'model': 'Catboost', 'batch_size': 100}",0.603800520982602,0.8241181296144381,0.7856615929350611,0.75479271796709,0.8241181296144381
"{'num_nearest_neighbors': 100, 'distance_metric': 'cosine', 'encoding_method': 'woe', 'model': 'Catboost', 'batch_size': 100}",0.5773594056886873,0.834946677604594,0.7961312190981832,0.7699123513949818,0.834946677604594
"{'num_nearest_neighbors': 100, 'distance_metric': 'cosine', 'encoding_method': 'rank', 'model': 'Catboost', 'batch_size': 100}",0.6017671002765782,0.8326497128794094,0.7935117275690439,0.7656962244748959,0.8326497128794094
